District,2014,2015,2016,2017,
Champaran,0.01,0,0,0,
Saran,0.1,0.09,0.09,0.09,
Patna,0,0,0,0.02,
Mungair,0.01,0.01,0,0.01,
Bhojpur,3.59,4.53,3.94,4.85,
Gaya,0.02,0,0,0,
,,,,,
