District,2014,2015,2016,2017,
Darbhanga,0,0.15,0,0,
Saharsa,0,0 0,0.01,0,
Patna,0.2,0.2,0.14,0.01,
Mungair,0.12,0.11,0.1,0.1,
Bhagalpur,0.01,0.01,0.01,0.01,
Bhojpur,1.22,1.25,1.66,1.33,
