Mandi_Name-Agmark,District_ID,District_Name-Agmark,State_Name
Siddout,112.0,Cuddapah,Andhra Pradesh
Bangarupalem,2323.0,Chittor,Andhra Pradesh
Chittoor,2323.0,Chittor,Andhra Pradesh
"Chittoor (MGH),RBZ",2323.0,Chittor,Andhra Pradesh
Chittor(Rythu Bazar),2323.0,Chittor,Andhra Pradesh
Kalikiri,2323.0,Chittor,Andhra Pradesh
Kuppam,2323.0,Chittor,Andhra Pradesh
Madanapalli,2323.0,Chittor,Andhra Pradesh
Mulakalacheruvu,2323.0,Chittor,Andhra Pradesh
Nagalapuram,2323.0,Chittor,Andhra Pradesh
Nagari,2323.0,Chittor,Andhra Pradesh
Pakala,2323.0,Chittor,Andhra Pradesh
Palamaner,2323.0,Chittor,Andhra Pradesh
Piler,2323.0,Chittor,Andhra Pradesh
Punganur,2323.0,Chittor,Andhra Pradesh
Puttur,2323.0,Chittor,Andhra Pradesh
Rompicherla,2323.0,Chittor,Andhra Pradesh
Satyavedu,2323.0,Chittor,Andhra Pradesh
Somala,2323.0,Chittor,Andhra Pradesh
Srikalahasti,2323.0,Chittor,Andhra Pradesh
Thambalapalli,2323.0,Chittor,Andhra Pradesh
Thottambedu,2323.0,Chittor,Andhra Pradesh
Tirupati,2323.0,Chittor,Andhra Pradesh
"Tirupati (TUDA),RBZ",2323.0,Chittor,Andhra Pradesh
V.Kota Mkt.Yard,2323.0,Chittor,Andhra Pradesh
Vayalapadu,2323.0,Chittor,Andhra Pradesh
Vepanjari,2323.0,Chittor,Andhra Pradesh
Amadalavalasa,101.0,Srikakulam,Andhra Pradesh
"Amudalavalasa ,RBZ",101.0,Srikakulam,Andhra Pradesh
Hiramandalam,101.0,Srikakulam,Andhra Pradesh
Ichapuram,101.0,Srikakulam,Andhra Pradesh
Kanchili,101.0,Srikakulam,Andhra Pradesh
Kothabommali,101.0,Srikakulam,Andhra Pradesh
Narasannapet,101.0,Srikakulam,Andhra Pradesh
Palakonda,101.0,Srikakulam,Andhra Pradesh
Pathapatnam,101.0,Srikakulam,Andhra Pradesh
Ponduru,101.0,Srikakulam,Andhra Pradesh
Rajam,101.0,Srikakulam,Andhra Pradesh
Sompeta,101.0,Srikakulam,Andhra Pradesh
Srikakulam,101.0,Srikakulam,Andhra Pradesh
"Srikakulam (Illandu Junction),RBZ",101.0,Srikakulam,Andhra Pradesh
Tekkali,101.0,Srikakulam,Andhra Pradesh
"Akkaiahpalem,RBZ,Visakhapatnam",103.0,Visakhapatnam,Andhra Pradesh
Anakapally,103.0,Visakhapatnam,Andhra Pradesh
Bheemunipatnam,103.0,Visakhapatnam,Andhra Pradesh
Bhimunipatnam,103.0,Visakhapatnam,Andhra Pradesh
Chintapally,103.0,Visakhapatnam,Andhra Pradesh
Chodavaram,103.0,Visakhapatnam,Andhra Pradesh
"Gajuwaka,RBZ,Visakhapatnam",103.0,Visakhapatnam,Andhra Pradesh
"Gopala Patnam Cent.,RBZ,Visakhapatnam",103.0,Visakhapatnam,Andhra Pradesh
"Kancharlapalem,RBZ",103.0,Visakhapatnam,Andhra Pradesh
"M.V.P.Colony,RBZ,Visakhapatnam",103.0,Visakhapatnam,Andhra Pradesh
"Madhurawada,RBZ",103.0,Visakhapatnam,Andhra Pradesh
"Marripalem,RBZ,Visakhapatnam",103.0,Visakhapatnam,Andhra Pradesh
"Mulagada,Visakhapatnam",103.0,Visakhapatnam,Andhra Pradesh
Narsipatnam,103.0,Visakhapatnam,Andhra Pradesh
Paderu,103.0,Visakhapatnam,Andhra Pradesh
"Pedagantiyada,RBZ,Visakhapatnam",103.0,Visakhapatnam,Andhra Pradesh
"Peddavaltair,RBZ,Visakhapatnam",103.0,Visakhapatnam,Andhra Pradesh
"Pendurthi,RBZ",103.0,Visakhapatnam,Andhra Pradesh
"Seethammadhara,RBZ,Visakhapatnam",103.0,Visakhapatnam,Andhra Pradesh
Seethammadhara(Rythu Bazar),103.0,Visakhapatnam,Andhra Pradesh
"Steel Plant,RBZ",103.0,Visakhapatnam,Andhra Pradesh
Vadlapudi,103.0,Visakhapatnam,Andhra Pradesh
Visakhapatnam,103.0,Visakhapatnam,Andhra Pradesh
Yellamanchili,103.0,Visakhapatnam,Andhra Pradesh
Alamuru,104.0,East Godavari,Andhra Pradesh
Allavaram,104.0,East Godavari,Andhra Pradesh
"Amalapuram(Mpl. Gate),RBZ",104.0,East Godavari,Andhra Pradesh
Ambajipeta,104.0,East Godavari,Andhra Pradesh
Anaparthy,104.0,East Godavari,Andhra Pradesh
Gandhinagar RBZ,104.0,East Godavari,Andhra Pradesh
"Ganesh Chouk,Rajahmundry,RBZ",104.0,East Godavari,Andhra Pradesh
Jaggampet,104.0,East Godavari,Andhra Pradesh
Kakinada,104.0,East Godavari,Andhra Pradesh
"Kakinada(R.T.C) ,RBZ",104.0,East Godavari,Andhra Pradesh
Kakinda(Rythu Bazar),104.0,East Godavari,Andhra Pradesh
Karapa,104.0,East Godavari,Andhra Pradesh
Kothapeta,104.0,East Godavari,Andhra Pradesh
Mandapeta,104.0,East Godavari,Andhra Pradesh
Mummidivaram,104.0,East Godavari,Andhra Pradesh
Nagaram,104.0,East Godavari,Andhra Pradesh
Peddapuram,104.0,East Godavari,Andhra Pradesh
Peddapuram(Phase7),104.0,East Godavari,Andhra Pradesh
Pithapuram,104.0,East Godavari,Andhra Pradesh
Prattipadu,104.0,East Godavari,Andhra Pradesh
Rajahmundry,104.0,East Godavari,Andhra Pradesh
"Rajahmundry(Nataraj),RBZ",104.0,East Godavari,Andhra Pradesh
Ramachandrapuram,104.0,East Godavari,Andhra Pradesh
"Ravulapalem(MY),RBZ",104.0,East Godavari,Andhra Pradesh
Ravulapelem,104.0,East Godavari,Andhra Pradesh
Razole,104.0,East Godavari,Andhra Pradesh
Samalkot,104.0,East Godavari,Andhra Pradesh
Sampara,104.0,East Godavari,Andhra Pradesh
"Satellite,RBZ",104.0,East Godavari,Andhra Pradesh
Tellarevu,104.0,East Godavari,Andhra Pradesh
Tuni,104.0,East Godavari,Andhra Pradesh
Achanta,105.0,West Godavari,Andhra Pradesh
Akiveedu,105.0,West Godavari,Andhra Pradesh
Attili,105.0,West Godavari,Andhra Pradesh
Bhimadole,105.0,West Godavari,Andhra Pradesh
Bhimavaram,105.0,West Godavari,Andhra Pradesh
"Bhimavaram,RBZ",105.0,West Godavari,Andhra Pradesh
Chintalapudi,105.0,West Godavari,Andhra Pradesh
Denduluru,105.0,West Godavari,Andhra Pradesh
Eluru,105.0,West Godavari,Andhra Pradesh
"Eluru-II,RBZ",105.0,West Godavari,Andhra Pradesh
"Eluru(P.Sri.Mkt),RBZ",105.0,West Godavari,Andhra Pradesh
Gopalavaram,105.0,West Godavari,Andhra Pradesh
Kovvur,105.0,West Godavari,Andhra Pradesh
"Kovvur,RBZ",105.0,West Godavari,Andhra Pradesh
Narsapuram,105.0,West Godavari,Andhra Pradesh
"Narsapuram,RBZ",105.0,West Godavari,Andhra Pradesh
Nidadavolu,105.0,West Godavari,Andhra Pradesh
Palakole,105.0,West Godavari,Andhra Pradesh
"Palakole ,RBZ",105.0,West Godavari,Andhra Pradesh
Pathebad(Rythu Bazar),105.0,West Godavari,Andhra Pradesh
Penugonda,105.0,West Godavari,Andhra Pradesh
Polavaram,105.0,West Godavari,Andhra Pradesh
Tadepalligudem,105.0,West Godavari,Andhra Pradesh
Tanuku,105.0,West Godavari,Andhra Pradesh
Undi,105.0,West Godavari,Andhra Pradesh
Ungatur,105.0,West Godavari,Andhra Pradesh
"Bapulapadu,RBZ",106.0,Krishna,Andhra Pradesh
Divi,106.0,Krishna,Andhra Pradesh
Gannavaram,106.0,Krishna,Andhra Pradesh
Gudiwada,106.0,Krishna,Andhra Pradesh
"Gudiwada,RBZ",106.0,Krishna,Andhra Pradesh
"Ibrahimpatnam,RBZ",106.0,Krishna,Andhra Pradesh
Jaggayyapeta,106.0,Krishna,Andhra Pradesh
"Jaggayyapeta (G.Hospital),RBZ",106.0,Krishna,Andhra Pradesh
Kaikaluru,106.0,Krishna,Andhra Pradesh
Kalidindi,106.0,Krishna,Andhra Pradesh
Kanchekacherla,106.0,Krishna,Andhra Pradesh
"Kanchekacherla,RBZ",106.0,Krishna,Andhra Pradesh
Kankipadu,106.0,Krishna,Andhra Pradesh
"Kedareshwari peta, Vijayawada,RBZ",106.0,Krishna,Andhra Pradesh
"Machalipatnam (Court),RBZ",106.0,Krishna,Andhra Pradesh
Machilipatnam,106.0,Krishna,Andhra Pradesh
Malleswaram,106.0,Krishna,Andhra Pradesh
Movva Hqs,106.0,Krishna,Andhra Pradesh
Mylavaram,106.0,Krishna,Andhra Pradesh
"Mylavaram,RBZ",106.0,Krishna,Andhra Pradesh
Nandigama,106.0,Krishna,Andhra Pradesh
"Nandigama,RBZ",106.0,Krishna,Andhra Pradesh
Nuzvid,106.0,Krishna,Andhra Pradesh
"Nuzvid (Gandhi Park),RBZ",106.0,Krishna,Andhra Pradesh
Pamarru,106.0,Krishna,Andhra Pradesh
"Patamata,RBZ",106.0,Krishna,Andhra Pradesh
Penamaluru,106.0,Krishna,Andhra Pradesh
Swarajmaidan(Rythu Bazar),106.0,Krishna,Andhra Pradesh
Tiruvuru,106.0,Krishna,Andhra Pradesh
Vijayawada,106.0,Krishna,Andhra Pradesh
"Vijayawada(S.Maidan),RBZ",106.0,Krishna,Andhra Pradesh
Vuyyur,106.0,Krishna,Andhra Pradesh
"Vuyyur,RBZ",106.0,Krishna,Andhra Pradesh
Vuyyuru(Rythu Bazar),106.0,Krishna,Andhra Pradesh
Bapatla,107.0,Guntur,Andhra Pradesh
Chilakaluripet,107.0,Guntur,Andhra Pradesh
"CSMLS Point, ,RBZ,Guntur",107.0,Guntur,Andhra Pradesh
Duggirala,107.0,Guntur,Andhra Pradesh
Emani,107.0,Guntur,Andhra Pradesh
"Gandhi Irvin Park(Tenali),RBZ",107.0,Guntur,Andhra Pradesh
Guntur,107.0,Guntur,Andhra Pradesh
Ipur,107.0,Guntur,Andhra Pradesh
Krosuru,107.0,Guntur,Andhra Pradesh
Kuchinapudi,107.0,Guntur,Andhra Pradesh
Macharla,107.0,Guntur,Andhra Pradesh
Mangalagiri,107.0,Guntur,Andhra Pradesh
"Mangalagiri(SLNS Temple),RBZ",107.0,Guntur,Andhra Pradesh
Narasaraopet,107.0,Guntur,Andhra Pradesh
"Narasaraopet,RBZ",107.0,Guntur,Andhra Pradesh
Narasaraopeta,107.0,Guntur,Andhra Pradesh
"Nr. Co-op Central Bank(Ten),RBZ",107.0,Guntur,Andhra Pradesh
"Old Bus Stand, Chilakaluripet,RBZ",107.0,Guntur,Andhra Pradesh
"Opp:Swami Theatre, ,RBZ,Guntur",107.0,Guntur,Andhra Pradesh
Pidugurala,107.0,Guntur,Andhra Pradesh
Pidugurala(Palnadu),107.0,Guntur,Andhra Pradesh
Ponnur,107.0,Guntur,Andhra Pradesh
Repalli,107.0,Guntur,Andhra Pradesh
Sattenapalli,107.0,Guntur,Andhra Pradesh
Tadikonda,107.0,Guntur,Andhra Pradesh
Tenali,107.0,Guntur,Andhra Pradesh
Vinukonda,107.0,Guntur,Andhra Pradesh
Addanki,108.0,Prakasam,Andhra Pradesh
Chirala,108.0,Prakasam,Andhra Pradesh
Cumbum(AP),108.0,Prakasam,Andhra Pradesh
Darsi,108.0,Prakasam,Andhra Pradesh
"Dibbala Bazar,RBZ",108.0,Prakasam,Andhra Pradesh
Giddalur,108.0,Prakasam,Andhra Pradesh
Kandukur,108.0,Prakasam,Andhra Pradesh
"Kandukur (MRO Complex),RBZ",108.0,Prakasam,Andhra Pradesh
Kanigiri,108.0,Prakasam,Andhra Pradesh
Kondapi,108.0,Prakasam,Andhra Pradesh
"Kothapatnam B.Stand,RBZ",108.0,Prakasam,Andhra Pradesh
"Lawyer pet (Sai tmpl),RBZ",108.0,Prakasam,Andhra Pradesh
Maddipadu,108.0,Prakasam,Andhra Pradesh
Markapur,108.0,Prakasam,Andhra Pradesh
Martur,108.0,Prakasam,Andhra Pradesh
Ongole,108.0,Prakasam,Andhra Pradesh
Ongole(Rythu Bazar),108.0,Prakasam,Andhra Pradesh
Parchur,108.0,Prakasam,Andhra Pradesh
Podili,108.0,Prakasam,Andhra Pradesh
Santhamaguluru,108.0,Prakasam,Andhra Pradesh
Singarayakonda,108.0,Prakasam,Andhra Pradesh
Alluru,109.0,Nellore,Andhra Pradesh
Atmakur(SPS),109.0,Nellore,Andhra Pradesh
"Fatehkhanpet,RBZ",109.0,Nellore,Andhra Pradesh
Gudur,109.0,Nellore,Andhra Pradesh
"Gudur (G. Mpl Park),RBZ",109.0,Nellore,Andhra Pradesh
Kavali,109.0,Nellore,Andhra Pradesh
"Kavali,RBZ",109.0,Nellore,Andhra Pradesh
Kovur,109.0,Nellore,Andhra Pradesh
Naidupet,109.0,Nellore,Andhra Pradesh
Nellore,109.0,Nellore,Andhra Pradesh
"Nellore(Play Ground),RBZ",109.0,Nellore,Andhra Pradesh
Rapur,109.0,Nellore,Andhra Pradesh
Sullurpet,109.0,Nellore,Andhra Pradesh
Udayagiri,109.0,Nellore,Andhra Pradesh
Vakadu,109.0,Nellore,Andhra Pradesh
Venkatagiri,109.0,Nellore,Andhra Pradesh
"A.A.Nagar,Kurnool,RBZ",110.0,Kurnool,Andhra Pradesh
Adoni,110.0,Kurnool,Andhra Pradesh
"Adoni,RBZ",110.0,Kurnool,Andhra Pradesh
Allagadda,110.0,Kurnool,Andhra Pradesh
Alur,110.0,Kurnool,Andhra Pradesh
Atmakur,110.0,Kurnool,Andhra Pradesh
Banaganapalli,110.0,Kurnool,Andhra Pradesh
"C.Camp,RBZ",110.0,Kurnool,Andhra Pradesh
Dhone,110.0,Kurnool,Andhra Pradesh
Koilkunta,110.0,Kurnool,Andhra Pradesh
"Kothpet,RBZ",110.0,Kurnool,Andhra Pradesh
Kurnool,110.0,Kurnool,Andhra Pradesh
Kurnool(Rythu Bazar),110.0,Kurnool,Andhra Pradesh
Nandikotkur,110.0,Kurnool,Andhra Pradesh
Nandyal,110.0,Kurnool,Andhra Pradesh
"Nandyal(Srinivasnagar),RBZ",110.0,Kurnool,Andhra Pradesh
Pahikonda,110.0,Kurnool,Andhra Pradesh
Pattikonda,110.0,Kurnool,Andhra Pradesh
Yemmiganur,110.0,Kurnool,Andhra Pradesh
Anantapur,111.0,Anantapur,Andhra Pradesh
Dharmavaram,111.0,Anantapur,Andhra Pradesh
Gooti,111.0,Anantapur,Andhra Pradesh
Guntakal,111.0,Anantapur,Andhra Pradesh
Hindupur,111.0,Anantapur,Andhra Pradesh
"Hindupur,RBZ",111.0,Anantapur,Andhra Pradesh
Kadiri,111.0,Anantapur,Andhra Pradesh
Kalyandurg,111.0,Anantapur,Andhra Pradesh
Madakasira,111.0,Anantapur,Andhra Pradesh
"P. Ramacharyulu Park,RBZ",111.0,Anantapur,Andhra Pradesh
Penukonda,111.0,Anantapur,Andhra Pradesh
Rayadurg,111.0,Anantapur,Andhra Pradesh
Tadipatri,111.0,Anantapur,Andhra Pradesh
Tenakallu,111.0,Anantapur,Andhra Pradesh
Urvakonda,111.0,Anantapur,Andhra Pradesh
Kurung Kumey,3206.0,Papum Pore,Arunachal Pradesh
Naharlagun,3206.0,Papum Pore,Arunachal Pradesh
Tawang,3201.0,Tawang,Arunachal Pradesh
Bomdila,3202.0,West Kameng,Arunachal Pradesh
Seppa,3203.0,East Kameng,Arunachal Pradesh
Daporijo,3204.0,Upper Subansiri,Arunachal Pradesh
Ziro,3205.0,Lower Subansiri,Arunachal Pradesh
Along,3207.0,West Siang,Arunachal Pradesh
Pasighat,3208.0,East Siang,Arunachal Pradesh
Yingkiong,3209.0,Upper Siang,Arunachal Pradesh
Anjaw,3210.0,Lohit,Arunachal Pradesh
Tezu,3210.0,Lohit,Arunachal Pradesh
Khonsa,3212.0,Tirap,Arunachal Pradesh
Miao,3213.0,Changlang,Arunachal Pradesh
Roing,3214.0,Lower Dibang Valley,Arunachal Pradesh
Sivasagar,212.0,Sibsagar,Assam
Bongiagaon,219.0,Bangaigaon,Assam
Cachar,201.0,Cachar,Assam
Karimganj,202.0,Karimganj,Assam
Goalpara,203.0,Goalpara,Assam
Gauripur,204.0,Dhubri,Assam
Srirampur,205.0,Kokrajhar,Assam
Goreswar,206.0,Kamrup,Assam
P.O. Uparhali Guwahati,206.0,Kamrup,Assam
Pamohi(Garchuk),206.0,Kamrup,Assam
Bohorihat,207.0,Barpeta,Assam
Howly,207.0,Barpeta,Assam
Kharupetia,208.0,Darrang,Assam
Dhekiajuli,209.0,Sonitpur,Assam
Dhing,210.0,Nagaon,Assam
Lanka,210.0,Nagaon,Assam
Jorhat,211.0,Jorhat,Assam
North Lakhimpur,213.0,Lakhimpur,Assam
Dibrugarh,214.0,Dibrugarh,Assam
Nalbari,217.0,Nalbari,Assam
Golaghat,218.0,Golaghat,Assam
Silapathar,220.0,Dhemaji,Assam
Kushtholy,221.0,Marigaon,Assam
Hailakandi,222.0,Hailakandi,Assam
Tinsukia,223.0,Tinsukia,Assam
Gopalganj,309.0,Gopalgang,Bihar
Chakia,310.0,East Champaran/ Motihari,Bihar
Madhuban,310.0,East Champaran/ Motihari,Bihar
Motihari,310.0,East Champaran/ Motihari,Bihar
Raxaul,310.0,East Champaran/ Motihari,Bihar
Bettiah,311.0,West Chambaran,Bihar
Narkatiaganj,311.0,West Chambaran,Bihar
Ramnagar,311.0,West Chambaran,Bihar
Munghair,322.0,Munghair,Bihar
Lakhisarai,323.0,Luckeesarai,Bihar
Surjyagarha,323.0,Luckeesarai,Bihar
Barari,327.0,Kaithar,Bihar
Barsoi,327.0,Kaithar,Bihar
"Gerabari, Korha Block",327.0,Kaithar,Bihar
Katihar,327.0,Kaithar,Bihar
Kaimur,329.0,Kaimur/Bhabhua,Bihar
Mohana,329.0,Kaimur/Bhabhua,Bihar
Bhagwanpur Mandi,336.0,Muzaffarpur,Bihar
Muzaffarpur,336.0,Muzaffarpur,Bihar
Bihta,301.0,Patna,Bihar
Danapur,301.0,Patna,Bihar
Mokama,301.0,Patna,Bihar
Patna (Musallahpur),301.0,Patna,Bihar
Patna City,301.0,Patna,Bihar
Biharsharif,302.0,Nalanda,Bihar
Harnaut,302.0,Nalanda,Bihar
Aarah,303.0,Bhojpur,Bihar
Bihiya,303.0,Bhojpur,Bihar
Piro,303.0,Bhojpur,Bihar
Dehri,304.0,Rohtas,Bihar
Kochas (Balthari),304.0,Rohtas,Bihar
Natwar,304.0,Rohtas,Bihar
Nokha,304.0,Rohtas,Bihar
Sasaram,304.0,Rohtas,Bihar
Vikramganj,304.0,Rohtas,Bihar
Gaya,305.0,Gaya,Bihar
Tekari,305.0,Gaya,Bihar
Aurangabad,306.0,Aurangabad,Bihar
Daunagar,306.0,Aurangabad,Bihar
Kutumba,306.0,Aurangabad,Bihar
Sonpur,307.0,Saran,Bihar
Maharjganj,308.0,Siwan,Bihar
Siwan,308.0,Siwan,Bihar
Bihariganj,312.0,Madhepura,Bihar
Murliganj,312.0,Madhepura,Bihar
Singheswarsthan,312.0,Madhepura,Bihar
Hajipur,313.0,Vaishali,Bihar
"Jaitipir Mandi, Lalganj block",313.0,Vaishali,Bihar
"Parsoniya Mandi, Mahua block",313.0,Vaishali,Bihar
"Pateri Belchar Mandi, Bhagwanpur block",313.0,Vaishali,Bihar
Sitamarhi,314.0,Sitamarhi,Bihar
Bahadurpur (Ekmi Ghat),315.0,Darbhanga,Bihar
Benipir,315.0,Darbhanga,Bihar
Biraul,315.0,Darbhanga,Bihar
Darbhanga,315.0,Darbhanga,Bihar
Benipatti,316.0,Madhubani,Bihar
Jahajharpur,316.0,Madhubani,Bihar
Jainagar,316.0,Madhubani,Bihar
Madhubani,316.0,Madhubani,Bihar
Saidpurhat,317.0,Samastipur,Bihar
Samastipur,317.0,Samastipur,Bihar
Tajpur,317.0,Samastipur,Bihar
Balliah,318.0,Begusarai,Bihar
