Millet,Scientific Name
Pearl Millet,Pennisetumglaucum. L.
Sorghum,Sorghum bicolor
Finger Millet,Eleusinecoracana
Barnyard Millet,Echinochloafrumentacea
Kodo Millet,Paspalumscrobiculatum
