,,Bajra,,,,,,,,,,
District,2014-15,,,2015-16,,,2016-17,,,Average,,
,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
Raipur,0,0,0,0,0,0,0,0,0,0,0,0
Balodabazar,0,0,0,7,5,714,0,0,0,7,5,714
Gariyabandh,0,0,0,0,0,0,0,0,0,0,0,0
Mahasamund,0,0,1,0,0,0,0,0,0,0,0,1
Dhamtari,0,0,0,0,0,0,0,0,0,0,0,0
Durg,0,0,0,0,0,0,0,0,0,0,0,0
Balod,0,0,0,0,0,0,0,0,0,0,0,0
Bemetra,0,0,0,0,0,0,0,0,0,0,0,0
Rajnandgaon,0,0,0,0,0,0,0,0,0,0,0,0
Kabirdham,107,98,916,83,63,759,0,0,0,190,161,1675
Bastar,0,0,0,0,0,0,0,0,0,0,0,0
Kondagaon,0,0,0,0,0,0,0,0,0,0,0,0
Narayanpur,0,0,0,0,0,0,0,0,0,0,0,0
Kanker,0,0,0,0,0,0,0,0,0,0,0,0
Dantewada,0,0,0,0,0,0,0,0,0,0,0,0
Sukma,0,0,0,0,0,0,0,0,0,0,0,0
Bijapur,0,0,0,0,0,0,0,0,0,0,0,0
Bilaspur,14,5,357,15,6,400,18,6,333,35,13,868
Mungeli,0,0,0,0,1,0,0,0,0,0,1,0
Janjgir,0,0,0,0,0,0,0,0,0,0,0,0
Korba,8,3,375,8,3,375,1,0,0.00,16,6,750
Sarguja,0,0,0,0,0,0,0,0,0,0,0,0
Balrampur,0,0,0,0,0,0,0,0,0,0,0,0
Surajpur,0,0,0,0,0,0,0,0,0,0,0,0
Koriya,0,0,0,0,0,0,0,0,0,0,0,0
Raigarh,12,6,500,11,5,455,12,5,417,27,13,1093
Jashpur,33,13,394,22,9,409,19,6,316,61,24,908
Total,174,125,718,146,92,630,50,17,340,337,223,661
