District,Year,Season,Area,Production,Yield
1. BOKARO,2018-19,Kharif,84,60,0.71
,2019-20,Kharif,82,287,3.5
2. CHATRA,2018-19,Kharif,70,34,0.49
,2019-20,Kharif,30,14,0.47
3. DHANBAD,2018-19,Kharif,9,5,0.56
4. DUMKA,2018-19,Kharif,143,96,0.67
,2019-20,Kharif,103,70,0.68
5. EAST SINGHBUM,2018-19,Kharif,500,290,0.58
,2019-20,Kharif,800,448,0.56
6. GIRIDIH,2018-19,Kharif,408,483,1.18
,2019-20,Kharif,33,39,1.18
7. GODDA,2019-20,Kharif,48,25,0.52
8. HAZARIBAGH,2018-19,Kharif,32,22,0.69
,2019-20,Kharif,44,30,0.68
9. JAMTARA,2018-19,Kharif,35,28,0.8
,2019-20,Kharif,80,96,1.2
10. KHUNTI,2018-19,Kharif,54,37,0.69
,2019-20,Kharif,17,6,0.35
11. KODERMA,2018-19,Kharif,78,39,0.5
,2019-20,Kharif,23,12,0.52
12. LATEHAR,2018-19,Kharif,110,38,0.35
13. LOHARDAGA,2018-19,Kharif,7,4,0.57
14. PAKUR,2018-19,Kharif,133,83,0.62
,2019-20,Kharif,96,72,0.75
15. PALAMU,2019-20,Kharif,23,16,0.7
16. RAMGARH,2018-19,Kharif,25,17,0.68
,2019-20,Kharif,190,129,0.68
17. SAHEBGANJ,2018-19,Kharif,30,20,0.67
,2019-20,Kharif,38,25,0.66
18. SARAIKELA KHARSAWAN,2018-19,Kharif,126,50,0.4
,2019-20,Kharif,61,23,0.38
19. SIMDEGA,2018-19,Kharif,30,18,0.6
,2019-20,Kharif,10,6,0.6
20. WEST SINGHBHUM,2018-19,Kharif,172,77,0.45
,2019-20,Kharif,118,53,0.45
Total - Jowar,,,3842,2752,0.72
