Area ('000 Hectares),,,Production ('000 Tonnes),,,Yield (Kg./Hectare),,,
2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,
2131,1673.71,1838.6,2739.07,1762.17,2555.6,1285,1053,1390,
